context,link,label_fr,order,label_en,label_es,label_de,description_fr,description_en,description_es,description_de
main_menu_links,services,Annuaire des services d’archives,1,Directory of archival institutions,,Verzeichnis der Archivdienste,FranceArchives compile et tient à jour l'annuaire des services d'archives publics et privés en France métropolitaine et outre-mer.,Directory of archival institutions in France,,
main_menu_links,statistic,Données d'activité des services d'archives,2,Data on activities of the archives,Datos de actividades de los servicios de archivos ,Tätigkeitsdaten der Archivdienste ,"Chaque année, les Archives de France mènent une enquête sur l’activité du réseau des services d'archives et diffusent les résultats sous forme de données statistiques ouvertes et d'un rapport annuel de synthèse.",,,
main_menu_links,@docs,Accéder aux documents publics avec @docs,3,Access public records with @docs,Acceder a documentos públicos con @docs ,Zugang zu öffentlichen Dokumenten unter @docs ,"@docs est une application numérique permettant à tout usager, pour une démarche administrative ou une recherche personnelle, de connaître les conditions de consultation des documents publics.",,,
main_menu_links,emplois,Offres d’emploi,4,Job offers,Ofertas de empleo ,Stellenangebote,Cet espace rassemble les offres d'emplois et de stages dans le domaine professionnel des archives envoyées par les services d'archives pour diffusion sur FranceArchives.,,,
main_menu_links,glossaire,Glossaire,5,Glossary,Glossario,Glossar,Ce lexique explicite les termes archivistiques qui sont utilisés sur le portail.,,,
main_menu_links,faq,Aide ,6,Help,Ayuda,Hilfe,Cette aide vous propose toutes les réponses nécessaires pour faciliter vos recherches sur FranceArchives et dans les archives en général.,,,
,,,,,,,,,,
archiviste_hp_links,circulaires,Circulaires,1,,,,,,,
archiviste_hp_links,services,Annuaire des services d’archives,2,,,,,,,
archiviste_hp_links,https://www.gouvernement.fr/presentation-du-delegue-et-du-comite-interministeriel-aux-archives-de-france,CIAF,3,,,,,,,
,,,,,,,,,,
footer_ministries,http://www.culturecommunication.gouv.fr,Ministère de la Culture,1,,,,,,,
footer_ministries,http://www.defense.gouv.fr,Ministère des Armées,2,,,,,,,
footer_ministries,http://www.diplomatie.gouv.fr,Ministère de l'Europe et des Affaires étrangères,3,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
footer_public_sites,https://www.legifrance.gouv.fr,légifrance,1,,,,,,,
footer_public_sites,http://www.cada.fr/,CADA,2,,,,,,,
footer_public_sites,https://www.service-public.fr/,service-public.fr,3,,,,,,,
footer_public_sites,http://data.gouv.fr,data.gouv.fr,4,,,,,,,
footer_public_sites,https://www.cnil.fr,CNIL,5,,,,,,,
,,,,,,,,,,
footer_archives_sites,https://www.archivesportaleurope.net/fr/home,Portail européen des Archives,1,Archives Portal Europe,,,,,,
footer_archives_sites,http://www.culture.fr/Genealogie/Grand-Memorial,Grand mémorial,2,,,,,,,
footer_archives_sites,http://www.memoiredeshommes.sga.defense.gouv.fr,Mémoire des hommes,3,,,,,,,
,,,,,,,,,,
footer_search_notebooks,http://siafdroit.hypotheses.org,Droit des archives,1,,,,,,,
footer_search_notebooks,http://siaf.hypotheses.org,Modernisation et archive,2,,,,,,,
,,,,,,,,,,
footer_usefull_links,services,Annuaire des services,1,Service directory,,,,,,
footer_usefull_links,article/38167,Annuaire du SIAF,2,SIAF directory,,,,,,
footer_usefull_links,annuaire/departements,Carte des services d'archives,3,,,,,,,
footer_usefull_links,circulaires,Circulaires,4,Circulars,,,,,,
footer_usefull_links,faq,Aide ,5,FAQ,,,,,,
footer_usefull_links,emplois,Offres d'emploi,6,Job offers,Ofertas de empleo ,Stellenangebote,,,,
footer_usefull_links,about,Rejoindre le portail,7,,,,,,,
footer_usefull_links,inventaires,Toutes les archives référencées,8,,,,,,,
,,,,,,,,,,
footer_links,contact,contact,1,,,,,,,
footer_links,open_data,open data,2,,,,,,,
footer_links,sitemap,plan du site,3,,,,,,,
footer_links,legal_notices,mentions légales,4,,,,,,,
footer_links,privacy_policy,données personnelle,5,,,,,,,
footer_links,accessibility,accessibilité,6,accessibility,,,,,,
,,,,,,,,,,
foundout_link,article/213604642,Que trouverez-vous sur FranceArchives ?,1,,,,,,,
